431750.00,1997.00,2839.00,4.00,3.00,1.06,1.00
352900.00,1981.00,2974.00,5.00,2.00,1.12,0.00
318100.00,1996.00,2162.00,5.00,1.00,0.92,2.00
426800.00,1998.00,3084.00,2.00,1.00,1.28,1.00
386450.00,1982.00,2964.00,4.00,3.00,0.79,2.00
398850.00,1988.00,3028.00,2.00,1.50,0.81,3.00
354950.00,1993.00,2462.00,3.00,3.00,0.71,2.00
476500.00,1996.00,3412.00,2.00,3.00,0.98,0.00
550750.00,2005.00,3438.00,2.00,2.00,0.67,3.00
405750.00,2000.00,2811.00,2.00,3.00,0.94,0.00
470400.00,2014.00,2805.00,4.00,1.50,0.81,0.00
336000.00,1983.00,2836.00,3.00,1.00,1.04,2.00
696650.00,2013.00,4014.00,5.00,2.00,0.97,2.00
469150.00,2012.00,2550.00,6.00,1.00,1.11,2.00
482600.00,1992.00,3168.00,5.00,2.00,1.16,3.00
462100.00,1994.00,3286.00,3.00,3.00,1.28,0.00
617450.00,1985.00,4451.00,4.00,1.50,0.82,3.00
418200.00,2012.00,2269.00,2.00,2.50,0.69,3.00
601000.00,1993.00,4353.00,2.00,3.00,0.87,0.00
358200.00,2006.00,2134.00,2.00,1.00,1.54,3.00
327900.00,1976.00,2719.00,5.00,1.50,1.17,3.00
524150.00,1989.00,3652.00,5.00,1.00,1.09,3.00
438550.00,1995.00,3233.00,4.00,1.50,0.74,0.00
619250.00,1990.00,4039.00,6.00,2.50,1.06,3.00
513650.00,1994.00,3621.00,4.00,1.50,1.20,1.00
170700.00,1976.00,1933.00,2.00,2.50,1.55,1.00
210000.00,1973.00,2319.00,2.00,2.00,0.81,2.00
386150.00,1999.00,2341.00,3.00,3.00,1.00,3.00
678100.00,1999.00,4530.00,5.00,2.50,0.74,0.00
521100.00,1999.00,3180.00,4.00,3.00,0.94,3.00
360750.00,1995.00,2696.00,3.00,1.00,1.09,1.00
347850.00,1991.00,2727.00,2.00,2.50,1.42,0.00
575000.00,1986.00,4272.00,2.00,3.00,1.28,1.00
442000.00,2014.00,2370.00,5.00,2.50,0.60,1.00
254700.00,1987.00,1846.00,4.00,2.00,1.52,3.00
269200.00,1997.00,1833.00,3.00,1.00,0.95,3.00
271100.00,1994.00,1756.00,4.00,3.00,1.18,2.00
307500.00,1990.00,2420.00,4.00,1.00,1.30,1.00
326800.00,1996.00,2021.00,5.00,2.00,0.91,3.00
386850.00,1979.00,3030.00,5.00,2.00,0.49,3.00
257750.00,1994.00,2020.00,4.00,1.50,1.15,0.00
467050.00,2000.00,2857.00,6.00,1.50,1.40,2.00
542050.00,2011.00,3290.00,5.00,1.50,1.07,0.00
339350.00,1981.00,2877.00,6.00,1.50,1.02,0.00
567650.00,1996.00,3769.00,6.00,2.50,1.32,0.00
490400.00,1974.00,3947.00,2.00,2.50,1.39,3.00
379700.00,1989.00,2610.00,5.00,2.00,0.88,3.00
370650.00,1982.00,2961.00,2.00,2.00,1.10,3.00
394150.00,1999.00,2802.00,2.00,2.50,1.09,0.00
431650.00,1971.00,3978.00,4.00,1.50,0.83,0.00
615050.00,2012.00,3769.00,4.00,2.00,0.98,0.00
471800.00,2011.00,2848.00,3.00,2.50,1.14,0.00
589800.00,2018.00,3231.00,5.00,1.50,1.51,1.00
536800.00,2004.00,3416.00,4.00,1.00,0.96,2.00
515200.00,1992.00,3428.00,4.00,2.50,0.90,3.00
447300.00,2006.00,2694.00,5.00,1.00,0.88,2.00
304600.00,2008.00,1924.00,2.00,2.00,1.40,0.00
433150.00,1988.00,3240.00,3.00,3.00,0.81,1.00
373650.00,1990.00,2775.00,4.00,1.00,1.16,2.00
520850.00,1998.00,3297.00,5.00,2.50,0.92,2.00
418250.00,1982.00,3241.00,4.00,2.00,1.14,2.00
596300.00,2000.00,3744.00,4.00,3.00,0.98,2.00
460750.00,1976.00,3628.00,6.00,3.00,0.77,1.00
361300.00,1972.00,3301.00,5.00,1.50,0.91,1.00
534250.00,1997.00,3406.00,6.00,2.00,0.89,2.00
493450.00,1972.00,3938.00,5.00,2.00,0.85,3.00
373050.00,1995.00,2587.00,3.00,1.00,1.00,3.00
304850.00,1983.00,2731.00,2.00,3.00,0.68,0.00
315000.00,1986.00,2715.00,3.00,2.00,0.85,0.00
451550.00,1987.00,3365.00,6.00,2.00,1.12,0.00
482750.00,1999.00,3315.00,3.00,2.50,1.20,0.00
358650.00,2003.00,2119.00,2.00,3.00,0.72,3.00
361050.00,2009.00,1688.00,5.00,3.00,1.19,3.00
476300.00,1980.00,4150.00,2.00,1.00,0.92,0.00
707650.00,2005.00,4675.00,2.00,1.50,1.26,1.00
389100.00,1985.00,3305.00,2.00,2.00,0.89,0.00
242450.00,1995.00,1788.00,5.00,2.50,0.45,0.00
456600.00,1987.00,3357.00,4.00,1.50,0.37,3.00
403400.00,2008.00,2303.00,3.00,2.50,1.03,2.00
575000.00,1996.00,3779.00,6.00,1.00,1.21,2.00
440650.00,1988.00,2988.00,6.00,2.50,1.33,2.00
378850.00,1997.00,2573.00,6.00,2.00,0.86,0.00
330250.00,2001.00,2046.00,4.00,2.00,0.89,2.00
546850.00,2008.00,3342.00,2.00,2.50,0.87,2.00
569900.00,1996.00,3491.00,6.00,2.50,1.25,3.00
424000.00,1993.00,3151.00,2.00,3.00,1.09,0.00
446500.00,2006.00,2587.00,6.00,2.00,1.23,1.00
526300.00,1993.00,3821.00,2.00,1.50,0.71,2.00
481600.00,1982.00,3628.00,6.00,3.00,1.16,0.00
457150.00,1996.00,3347.00,2.00,2.50,0.84,0.00
546850.00,2005.00,3455.00,2.00,3.00,1.24,1.00
537800.00,1998.00,3532.00,2.00,3.00,1.20,2.00
347050.00,2002.00,2115.00,5.00,1.50,0.82,2.00
374900.00,1972.00,3469.00,3.00,3.00,0.97,0.00
533600.00,1997.00,3431.00,4.00,3.00,0.93,2.00
344300.00,1982.00,2770.00,4.00,2.00,0.92,2.00
542450.00,2002.00,3349.00,6.00,2.00,0.34,2.00
467450.00,1999.00,3068.00,6.00,1.50,0.65,1.00
603050.00,1983.00,4479.00,2.00,3.00,1.08,2.00
620700.00,2010.00,4035.00,3.00,1.00,1.03,0.00
418750.00,2017.00,2441.00,2.00,1.50,1.34,0.00
519650.00,2004.00,3253.00,5.00,3.00,0.78,0.00
320250.00,1993.00,2347.00,4.00,2.00,0.88,1.00
658500.00,1997.00,4412.00,2.00,2.00,0.78,3.00
323950.00,1978.00,2971.00,2.00,1.50,0.72,2.00
504500.00,2008.00,3086.00,3.00,1.50,0.94,2.00
395850.00,1999.00,2397.00,4.00,2.00,1.42,3.00
534050.00,1989.00,3819.00,2.00,2.00,1.08,3.00
364700.00,1989.00,3116.00,2.00,1.00,0.82,0.00
397350.00,1992.00,2757.00,3.00,2.00,0.92,3.00
500450.00,1990.00,3685.00,3.00,2.50,0.68,1.00
602100.00,1992.00,4165.00,6.00,2.50,0.99,0.00
302150.00,1991.00,2358.00,4.00,1.00,1.23,1.00
506050.00,1990.00,3609.00,5.00,2.50,0.48,1.00
314100.00,1991.00,2705.00,2.00,1.00,0.89,0.00
543200.00,2002.00,3425.00,3.00,2.00,0.63,3.00
481550.00,1989.00,3517.00,2.00,2.00,0.60,3.00
373550.00,1989.00,2826.00,2.00,2.00,0.31,3.00
609400.00,1989.00,4334.00,4.00,1.50,1.12,2.00
576350.00,1994.00,3903.00,4.00,2.00,1.06,2.00
412400.00,1987.00,2725.00,6.00,3.00,0.91,3.00
348900.00,1994.00,2480.00,2.00,2.50,0.96,2.00
240900.00,1987.00,1849.00,4.00,2.50,1.07,2.00
503450.00,1993.00,3231.00,6.00,1.50,1.42,3.00
304700.00,1987.00,2624.00,3.00,1.00,0.74,1.00
418950.00,2004.00,2909.00,3.00,1.00,0.84,0.00
527550.00,1992.00,3356.00,6.00,2.50,1.11,3.00
543150.00,2003.00,3373.00,2.00,2.50,0.98,3.00
625300.00,2011.00,3447.00,5.00,2.50,1.05,3.00
368050.00,1991.00,2556.00,3.00,3.00,1.31,2.00
398100.00,1985.00,2803.00,5.00,2.50,1.01,3.00
